,Date,Country,City,State,Company,Type,Keywords
364,2022-03-28,France,Ajaccio,Ajaccio,Hospital,Ransomware,"Corse, Healthcare,Centre Hospitalier de Castelluccio"
365,2022-03-28,Hungary,Missing,Missing,Political party,"DDoS attack, Website defacement","Politics,Fidesz"
366,2022-03-28,Ukraine,Missing,Missing,Software,In process of analysis,
367,2022-03-28,Ukraine,Kyiv,Kyiv,Telecommunications provider,In process of analysis,Укртелеком (Ukrtelecom)
368,2022-03-29,Singapore,Missing,Missing,Cryptocurrency,In process of analysis,"Finance, Money,Ronin"
369,2022-03-29,USA,Windsor Locks CT,CT,Airport,DDoS attack,"Connecticut, Hartford County, Transportation,Aerodrome, Airport, Airfield,Aviation,Bradley International Airport"
370,2022-03-30,Brazil,São Paulo,São Paulo,Court,In process of analysis,"Justice, Legal,Administration, Authority, Government, Public sector,Tribunal Regional Federal da 3ª Região"
371,2022-03-30,Switzerland,Neuchâtel NE,NE,Learning platform,In process of analysis,"Canton de Neuchâtel,Réseau pédagogique neuchâtelois (RPN)"
372,2022-03-30,Luxembourg,Luxembourg City,Luxembourg City,IT,In process of analysis,Globant
373,2022-03-30,Portugal,Matosinhos,Matosinhos,Supermarket chain,In process of analysis,"Região Norte, Retail,Sonae / Continente"
374,2022-03-30,Ukraine,Missing,Missing,,In process of analysis,
375,2022-03-30,USA,Carmel IN,IN,Insurance,In process of analysis,"Indiana, Hamilton County, Finance, Money,TIC International Corporation"
377,2022-03-31,Canada,St. Thomas ON,ON,County,In process of analysis,"Ontario, Administration, Authority, Government, Public sector,Elgin County"
378,2022-03-31,Germany,Hamburg,HH,Wind turbines,In process of analysis,Nordex SE
379,2022-03-31,Hungary,Missing,Missing,News,DDoS attack,"Politics,Telex, 444, Momentum"
380,2022-03-31,India,Ladakh,Ladakh,Power grid,In process of analysis,
381,2022-03-31,Italy,Brescia,Brescia,City government,In process of analysis,"Lombardy, Provincia di Brescia, Administration, Authority, Government, Public sector,Italia,City administration, City government, municipality, town hall,Comune di Brescia"
382,2022-03-31,Russia,Missing,Missing,Investment,In process of analysis,"Finance, Money,Marathon Group"
383,2022-03-31,United Kingdom,Nuneaton,Nuneaton,Building materials dealer,In process of analysis,"England, Warwickshire, Construction,United Kingdom,GRS Roadstone"
385,2022-04-01,Netherlands,Buren,Buren,Municipality,Ransomware,"Gelderland, Administration, Authority, Government, Public sector"
386,2022-04-01,United Kingdom,Birmingham,Birmingham,Toys and crafts,Ransomware,"Retail,United Kingdom,The Works"
387,2022-04-01,USA,Richmond VA,VA,Insurance,In process of analysis,"Virginia, Finance, Money,Automobile, Automotive, Cars,Elephant Insurance"
389,2022-04-01,Indonesia,Jakarta,Jakarta,Natural gas,Ransomware,Perusahaan Gas Negara (PGN)
390,2022-04-04,Switzerland,Lutry VD,VD,Library,In process of analysis,"Canton of Vaud, Administration, Authority, Government, Public sector"
391,2022-04-04,Russia,Moscow,Moscow,Media agency,In process of analysis,Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК) (VGTRK)
392,2022-04-04,USA,Wilkes-Barre PA,PA,Health service,In process of analysis,"Pennsylvania, Luzerne County, Healthcare,Maternal & Family Health Services (MFHS)"
393,2022-04-04,USA,Phoenix AZ,AZ,Rental,In process of analysis,"Arizona, Maricopa County,U-Haul"
394,2022-04-06,Brazil,Pernambuco,Pernambuco,Justice,In process of analysis,"Justice, Legal,Administration, Authority, Government, Public sector,Justiça Federal de Pernambuco"
395,2022-04-06,France,Privas,Privas,Administration,In process of analysis,"Auvergne-Rhône-Alpes, Département Ardèche, Administration, Authority, Government, Public sector,Departement Ardèche"
396,2022-04-06,Italy,Roma,Roma,Ministry,In process of analysis,"Lazio, Italia,Government,Ministero della transizione ecologica"
397,2022-04-06,Nigeria,Missing,Missing,Sports betting,Ransomware,bet9ja
398,2022-04-06,Russia,Moscow,Moscow,Oil company,Website defacement,Газпром нефть (Gazprom Neft)
399,2022-04-06,USA,Missing,Missing,Underwater cable,In process of analysis,Hawaii
400,2022-04-07,Germany,Altenberge,NW,HR software,In process of analysis,"North Rhine-Westphalia,perbit Software GmbH"
401,2022-04-07,Germany,Frankenthal (Pfalz),RP,Pumps and valves,In process of analysis,"Rhineland-Palatinate,KSB SE & Co. KGaA"
402,2022-04-07,New Zealand,Wellington,Wellington,Organization,In process of analysis,Institute of Directors in New Zealand
403,2022-04-07,Russia,Missing,Missing,Oil/gas,In process of analysis,Aerogaz
404,2022-04-07,Russia,Saint Petersburg (Санкт-Петербург),Saint Petersburg (Санкт-Петербург),Business center,In process of analysis,Петровский форт (Petrofort)
405,2022-04-07,Russia,Missing,Missing,Timber,In process of analysis,Форест (Forest)
406,2022-04-07,Ukraine,Missing,Missing,Power supply,In process of analysis,
407,2022-04-08,Belgium,Kortrijk,Kortrijk,University of applied sciences,In process of analysis,"College, University, Research,Hogeschool Vives"
408,2022-04-08,Finland,Helsinki,Helsinki,Ministry,DDoS attack,"Government,Armed Forces, Military,Puolustusministeriö (Ministry of Defense),PuolustusministeriO (Ministry of Defense)"
409,2022-04-08,Finland,Helsinki,Helsinki,Ministry,DDoS attack,"Government,Ulkoministeriö (Ministry of Foreign Affairs),UlkoministeriO (Ministry of Foreign Affairs)"
410,2022-04-08,Ukraine,Missing,Missing,,In process of analysis,
411,2022-04-08,USA,Springfield MO,MO,Community College,In process of analysis,"Missouri,Ozarks Technical Community College"
412,2022-04-09,Cameroon,Missing,Missing,Media company,Website defacement,ekiosque.cm
413,2022-04-09,Cameroon,Missing,Missing,Telecommunication,Website defacement,Orange Pulse
414,2022-04-09,USA,Miami FL,FL,University,Ransomware,"Florida, College, University, Research,Florida International University (FIU)"
415,2022-04-10,Andorra,Missing,Missing,Telecommunication,In process of analysis,Andorra Telecom
416,2022-04-10,Belgium,Turnhout,Turnhout,"Coffee, coffee machines",In process of analysis,"Groceries, Food,Miko Coffee Services SA"
417,2022-04-11,Germany,Bad Homburg vor der Höhe,HE,Insurance company,In process of analysis,"Hesse, Finance, Money,Baloise,Bad Homburg vor der HOhe"
418,2022-04-11,Spain,Granada,Granada,Hospital,In process of analysis,"Andalusia, Healthcare"
419,2022-04-11,Russia,Missing,Missing,Government,In process of analysis,"Government,Administration, Authority, Government, Public sector"
420,2022-04-12,Germany,Bremen,HB,Wind turbine operator,In process of analysis,Deutsche Windtechnik AG
421,2022-04-12,India,Duliajan,Duliajan,Oil company,In process of analysis,"Assam,Oil India Limited"
422,2022-04-12,Russia,Missing,Missing,Education,In process of analysis,"Administration, Authority, Government, Public sector"
423,2022-04-12,United Kingdom,London,London,Crypto currency,DDoS attack,"Finance, Money,United Kingdom,Currency.com"
424,2022-04-13,Italy,Castenaso,Castenaso,Online food,In process of analysis,"Emilia-Romagna, Groceries, Food,Italia,EasyCoop"
425,2022-04-13,Russia,Missing,Missing,"Oil, gas",In process of analysis,Technotec
426,2022-04-13,USA,San Francisco CA,CA,Cloud vendor,In process of analysis,"California,Heroku"
427,2022-04-13,Germany,Halle (Saale),ST,Research institute,In process of analysis,"Saxony-Anhalt, Research and Development,Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen (IMWS),Fraunhofer-Institut fUr Mikrostruktur von Werkstoffen und Systemen (IMWS)"
428,2022-04-13,Germany,Vettelschoß,RP,Health care stores,In process of analysis,"Rhineland-Palatinate, Landkreis Neuwied, Healthcare,Sanitätshaus Aktuell AG,SanitAtshaus Aktuell AG"
429,2022-04-13,Spain,Las Rozas de Madrid,Las Rozas de Madrid,Football federation,In process of analysis,Real Federación Española de Fútbol (RFEF)
430,2022-04-13,Iceland,Missing,Missing,,DDoS attack,
431,2022-04-14,Malawi,Missing,Missing,Investigative website,In process of analysis,
432,2022-04-14,Russia,Missing,Missing,Oil facilities,In process of analysis,Gazprom Linde Engineering
433,2022-04-14,United Kingdom,Bristol,Bristol,Greeting cards,In process of analysis,"England, Consumer goods,United Kingdom,funkypigeon.com Limited"
434,2022-04-14,USA,Lower Makefield Township PA,PA,Municipality,In process of analysis,"Pennsylvania, Administration, Authority, Government, Public sector"
435,2022-04-15,Switzerland,Plan-les-Ouates GE,GE,Milk,In process of analysis,"Canton of Geneva, Groceries, Food,Laiteries Réunies de Genève (LRG)"
436,2022-04-15,Germany,Lübbecke,NW,Plant engineering,In process of analysis,"North Rhine-Westphalia,IMA Schelling Group,LUbbecke"
437,2022-04-15,France,Six-Fours-les-Plages,Six-Fours-les-Plages,Insurance,In process of analysis,"Provence-Alpes-Côte d’Azur, Département Var, Finance, Money,Emoa Mutuelle du Var"
438,2022-04-15,Italy,Civitavecchia,Civitavecchia,City administration,In process of analysis,"Lazio, Administration, Authority, Government, Public sector,Italia,City administration, City government, municipality, town hall,Civitavecchia Servizi Pubblici (CSP)"
439,2022-04-15,Italy,Messina,Messina,Health provider,In process of analysis,"Italia,Healthcare,Azienda Sanitaria Provinciale Messina (ASP Messina)"
440,2022-04-15,Russia,Missing,Missing,Travel agency,In process of analysis,"Travel, Tourism,Continent Express"
441,2022-04-15,USA,Wailuku HI,HI,County,In process of analysis,"Hawaii, Administration, Authority, Government, Public sector,Maui County"
442,2022-04-15,USA,Topeka KS,KS,School district,In process of analysis,"Kansas, Shawnee County, Administration, Authority, Government, Public sector,Topeka Public Schools, Unified School District No. 501"
443,2022-04-16,Bulgaria,Sofia,Sofia,Post,In process of analysis,"Logistics,Български пощи (Bulgarian Post)"
444,2022-04-16,Ecuador,Quito,Quito,Municipality,In process of analysis,"Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Municipio de Quito"
445,2022-04-16,Italy,Milano,Milano,Fashion,In process of analysis,"Consumer goods,Italia,Giorgio Armani SpA"
446,2022-04-16,Puerto Rico,Missing,Missing,Toll system,In process of analysis,"Transportation,Automobile, Automotive, Cars,AutoExpreso"
448,2022-04-16,Australia,Sydney NSW,NSW,Transport authority,In process of analysis,"New South Wales, Transportation,Transport for NSW"
449,2022-04-17,Costa Rica,San José,San José,Social insurance,In process of analysis,"Finance, Money,Caja Costarricense de Seguro Social (CCSS)"
450,2022-04-17,Germany,Hamburg,HH,Aviation handling,In process of analysis,"Transportation,Aviation,Aerodrome, Airport, Airfield,AHS Aviation Handling Services GmbH"
451,2022-04-17,Sri Lanka,Colombo,Colombo,Police,In process of analysis,"Police, Law enforcement,රී ලංකා පොලීසිය / இலங்கை காவல்"
452,2022-04-17,USA,Kansas City KS,KS,County,In process of analysis,"Kansas, Wyandotte County, Administration, Authority, Government, Public sector,Unified Government of Wyandotte County and Kansas City, Kansas"
453,2022-04-18,Canada,Toronto ON,ON,Airline,In process of analysis,"Ontario, Transportation,Airline,Aviation,Sunwing Airlines"
454,2022-04-18,Costa Rica,San José,San José,Ministry of Finance,Ransomware,"Government,Administration, Authority, Government, Public sector,Ministerio de Hacienda"
455,2022-04-18,Germany,Dillingen an der Donau,BY,Utility,In process of analysis,"Bavaria, Disposal, Utility,Donau-Stadtwerke Dillingen-Lauingen (DSDL)"
456,2022-04-18,Germany,Hannover,NI,Technology service provider,In process of analysis,"Lower Saxony,TÜV NORD GROUP,TUV NORD GROUP"
457,2022-04-18,Germany,Dillingen an der Donau,BY,IT company,Ransomware,"Bavaria,Reitzner AG"
458,2022-04-18,Germany,Reutlingen,BW,Service provider for libraries,In process of analysis,"Baden-Württemberg,ekz.bibliotheksservice GmbH,Baden-WUrttemberg"
459,2022-04-18,Italy,Roma,Roma,Banking association,In process of analysis,"Lazio, Finance, Money,Italia,Associazione Bancaria Italiana (ABI)"
460,2022-04-18,Japan,Funabashi,Funabashi,Construction company,In process of analysis,"Chiba, Construction,(京成建設株式会社) Keisei Construction Co., Ltd"
461,2022-04-18,Russia,Moscow,Moscow,Natural gas construction,In process of analysis,Газрегион (Gazregion)
462,2022-04-18,Russia,Saint Petersburg (Санкт-Петербург),Saint Petersburg (Санкт-Петербург),Bank,In process of analysis,"Finance, Money,АО Банк ПСКБ (JSC Bank 'PSCB')"
463,2022-04-19,Belarus,Minsk,Minsk,IT company,In process of analysis,Synesis
464,2022-04-19,Germany,Schriesheim,BW,City administration,Ransomware,"Baden-Württemberg, Rhein-Neckar district, Heidelberg, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Baden-WUrttemberg"
465,2022-04-19,Germany,Leipzig,SN,University library,In process of analysis,"Saxony, College, University, Research,Universitätsbibliothek Leipzig,UniversitAtsbibliothek Leipzig"
466,2022-04-19,Spain,Gijón,Gijón,City council,In process of analysis,"Asturias, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Ayuntamiento de Gijón"
467,2022-04-19,France,Verdun,Verdun,Hospitals,In process of analysis,"Grand Est, Département Meuse, Healthcare,Groupement Hospitalier de Territoire (GHT) Cœur Grand Est"
468,2022-04-19,India,Missing,Missing,Newspaper,In process of analysis,O Heraldo / Herald Goa
469,2022-04-19,Japan,Tokyo,Tokyo,Property,In process of analysis,"Real estate,株式会社 明光トレーディング (Meiko Trading Co.)"
470,2022-04-19,Russia,Missing,Missing,Military construction,In process of analysis,"Construction,Armed Forces, Military,ГУОВ и ГС (GUOV i GS)"
471,2022-04-19,Russia,Missing,Missing,Bookkeeping,In process of analysis,Тендертех (Tendertech)
472,2022-04-19,Russia,Missing,Missing,Oil and gas exploration,In process of analysis,Неоком Геосервис (Neocom Geoservice)
473,2022-04-19,United Kingdom,Caerphilly,Caerphilly,,In process of analysis,"Wales, United Kingdom,Ventilations"
474,2022-04-20,Argentina,Buenos Aires,Buenos Aires,Research council,In process of analysis,"Research and Development,Administration, Authority, Government, Public sector,Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET)"
475,2022-04-20,Belgium,Herentals,Herentals,Hospital,In process of analysis,"Healthcare,AZ Herentals"
476,2022-04-20,Bulgaria,Sofia,Sofia,Regulatory agency,In process of analysis,"Administration, Authority, Government, Public sector,Комисия за енергийно и водно регулиране (КЕВР) / Energy and Water Regulatory Commission"
477,2022-04-20,Czech Republic,Brno,Brno,Office for Cyber and Information Security,In process of analysis,"Administration, Authority, Government, Public sector,Národní úřad pro kybernetickou a informační bezpečnost (NUKIB)"
478,2022-04-20,Czech Republik,Missing,Missing,,DDoS attack,
479,2022-04-20,France,Lyon,Lyon,Property manager,In process of analysis,"Real estate,Oralia Partner"
480,2022-04-20,Israel,Missing,Missing,TV station,In process of analysis,9 канал
481,2022-04-20,Israel,Missing,Missing,TV station,In process of analysis,KAN
482,2022-04-20,Israel,Tel Aviv / תֵּל־אָבִיב–יָפוֹ,Tel Aviv / תֵּל־אָבִיב–יָפוֹ,Airport authority,In process of analysis,"Aerodrome, Airport, Airfield,Aviation,רשות שדות התעופה בישראל (Israel Airports Authority)"
483,2022-04-20,Pakistan,Karachi,Karachi,Bank,In process of analysis,"Finance, Money,United Bank Limited (UBL)"
484,2022-04-20,Russia,Missing,Missing,Investment company,In process of analysis,"Finance, Money,Ворлдвайд Инвест АС (Worldwide Invest)"
485,2022-04-20,Russia,Missing,Missing,Property management,In process of analysis,"Real estate,Sawatzky Property Management"
487,2022-04-21,Argentina,Buenos Aires,Buenos Aires,Parliament,DDoS attack,"Government,Senado de la Nación Argentina"
488,2022-04-21,Switzerland,Muttenz BL,BL,Logistics,In process of analysis,"Canton of Basel-Landschaft, Transportation,M+R Spedag Group"
489,2022-04-21,Estonia,Missing,Missing,Gov/Admin,DDoS attack,"Administration, Authority, Government, Public sector,Government"
490,2022-04-21,Russia,Missing,Missing,Investment,In process of analysis,"Finance, Money,Accent Capital"
491,2022-04-21,USA,Chicago IL,IL,Professional association,Ransomware,"Illinois, Healthcare,American Dental Association (ADA)"
492,2022-04-21,Austria,St. Pölten,St. Pölten,Vocational school,Ransomware,"Lower Austria,Höhere Technische Bundeslehr- und Versuchsanstalt St. Pölten (HTL),St. POlten,HOhere Technische Bundeslehr- und Versuchsanstalt St. POlten (HTL)"
493,2022-04-22,Estonia,Missing,Missing,Gov/Admin,In process of analysis,"Administration, Authority, Government, Public sector,Government"
494,2022-04-22,Estonia,Tallinn,Tallinn,Military,In process of analysis,"Armed Forces, Military,NATO Cooperative Cyber Defence Centre of Excellence (CCDCOE)"
495,2022-04-22,Portugal,Lisbon,Lisbon,Organization,In process of analysis,Ordem dos Engenheiros
496,2022-04-22,Russia,Irkutsk,Irkutsk,Hydraulik,In process of analysis,Энерпред (Enerpred)
497,2022-04-22,Ukraine,Kyiv,Kyiv,Post,DDoS attack,"Logistics,Укрпошта (Ukrposhta)"
498,2022-04-22,USA,Dallas TX,TX,Healthcare provider,In process of analysis,"Texas, Healthcare,Tenet Healthcare Corporation (THC)"
499,2022-04-24,Estonia,Missing,Missing,Gov/Admin,In process of analysis,"Administration, Authority, Government, Public sector,Government"
500,2022-04-24,USA,Yuma AZ,AZ,Hospital,In process of analysis,"Arizona, Healthcare,Yuma Regional Medical Center"
501,2022-04-24,USA,Greenburgh NY,NY,Library system,In process of analysis,"New York, Westchester County, Administration, Authority, Government, Public sector,Westchester Library System"
503,2022-04-25,Switzerland,Hinwil ZH,ZH,Conveyor systems,In process of analysis,"Canton of Zurich,Ferag AG"
504,2022-04-25,Switzerland,Zurich ZH,ZH,Emergency,In process of analysis,"Canton of Zürich, Zürich, Administration, Authority, Government, Public sector,Emergency service, Rescue,Schutz & Rettung Zürich,Canton of ZUrich,Schutz & Rettung ZUrich"
505,2022-04-25,Czech Republic,Žďár nad Sázavou,Žďár nad Sázavou,Municipal administration,In process of analysis,"Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
506,2022-04-25,Russia,Moscow,Moscow,Energy industry,In process of analysis,АЛЕТ (ALET)
507,2022-04-25,Russia,Missing,Missing,Business development,In process of analysis,Корпорация МСП (KorpMSP)
508,2022-04-26,Portugal,Almada,Almada,Hospital,In process of analysis,"Healthcare,Hospital Garcia de Orta (HGO)"
509,2022-04-26,USA,Missing,Missing,Soft drinks,In process of analysis,"Groceries, Food,Coca-Cola"
510,2022-04-27,Czech Republic,Praha,Praha,Ministry of Interior,In process of analysis,"Government,Police, Law enforcement,Administration, Authority, Government, Public sector,Ministerstvo vnitra České republiky"
511,2022-04-27,Italy,Vico Equense,Vico Equense,Municipality,In process of analysis,"Campania, Administration, Authority, Government, Public sector,Italia,City administration, City government, municipality, town hall,Comune di Vico Equense"
512,2022-04-27,Italy,Missing,Missing,Energy supply,In process of analysis,"Italia,Network Contacts SpA"
513,2022-04-27,Portugal,Moita,Moita,City administration,In process of analysis,"Setúbal, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
514,2022-04-27,Russia,Missing,Missing,Electrical equipment,In process of analysis,"Электроцентромонтаж (Elektrocentromontazh, ECM)"
515,2022-04-27,United Kingdom,London,London,Bar association,In process of analysis,"Justice, Legal,United Kingdom,General Council of the Bar (GCB)"
516,2022-04-27,USA,Clarksville TN,TN,University,Ransomware,"Tennessee, College, University, Research,Austin Peay State University (APSU)"
517,2022-04-28,China,Missing,Missing,Health IT,In process of analysis,"Healthcare,健康宝 Jiankang Bao"
518,2022-04-28,Czech Republic,Praha,Praha,TV station,In process of analysis,ČT24
519,2022-04-28,Germany,Berlin,BE,University of applied sciences,In process of analysis,"College, University, Research,Hochschule für Technik und Wirtschaft Berlin,Hochschule fUr Technik und Wirtschaft Berlin"
520,2022-04-28,Trinidad and Tobago,Port of Spain,Port of Spain,Supermarkets,In process of analysis,"Retail,Groceries, Food,Massy Stores (Trinidad)"
521,2022-04-28,United Kingdom,St Helens,St Helens,College,In process of analysis,"North West England, Merseyside, College, University, Research,United Kingdom,Carmel College"
522,2022-04-28,USA,Atlanta GA,GA,Bar association,In process of analysis,"Georgia, Fulton County, DeKalb County, Justice, Legal,State Bar of Georgia"
523,2022-04-28,South Africa,Johannesburg,Johannesburg,Pharmacy,In process of analysis,"Retail,Healthcare,Dis-Chem Pharmacies Limited"
524,2022-04-29,Germany,Pullach,BY,Car rental,In process of analysis,"Bavaria, Transportation,Automobile, Automotive, Cars,Sixt SE"
525,2022-04-29,Germany,Wiesbaden,HE,Police,DDoS attack,"Hesse, Police, Law enforcement,Administration, Authority, Government, Public sector,Polizei Hessen"
526,2022-04-29,Romania,Bucharest,Bucharest,Government,In process of analysis,"Government,Guvernul României"
527,2022-04-29,Romania,Bucharest,Bucharest,Ministry of Defense,In process of analysis,"Armata României, Forțele Terestre Române, Forțele Aeriene Române, Forțele Navale Române, Armed Forces, Military,Government,Ministerul Apărării Naționale (MApN)"
528,2022-04-29,Romania,Bucharest,Bucharest,Bank,In process of analysis,"Finance, Money,OTP Bank România"
529,2022-04-29,Romania,Bucharest,Bucharest,Border police,In process of analysis,"Police, Law enforcement,Administration, Authority, Government, Public sector,Politia de Frontiera Romana"
530,2022-04-29,Romania,Bucharest,Bucharest,Railway,In process of analysis,"Transportation,Railway,CFR Călători"
531,2022-04-29,USA,Portland OR,OR,City administration,Business Email Compromise,"Oregon, Multnomah County, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,City of Portland"
532,2022-04-29,USA,Concord NC,NC,Model trains,In process of analysis,"North Carolina, Cabarrus County, Consumer goods,Lionel LLC"
533,2022-04-29,USA,Detroit MI,MI,Car manufacturer,In process of analysis,"Michigan, Automobile, Automotive, Cars,General Motors"
534,2022-04-30,Spain,Caldes de Montbui,Caldes de Montbui,City council,In process of analysis,"Catalonia, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
535,2022-04-30,France,Illkirch-Graffenstaden,Illkirch-Graffenstaden,Partition walls,In process of analysis,"Grand Est, Département Bas-Rhin,Clestra Hauserman"
536,2022-04-30,USA,Battle Creek MI,MI,Community College,In process of analysis,"Michigan,Kellogg Community College (KCC)"
537,2022-05-01,Colombia,Bogota,Bogota,Healthcare provider,In process of analysis,"Healthcare,Salud Total EPS"
538,2022-05-01,Italy,Milano,Milano,Hospitals,In process of analysis,"Italia,Healthcare,ASST Fatebenefratelli Sacco"
539,2022-05-01,Portugal,Vila Verde,Vila Verde,Hospital,In process of analysis,"Healthcare,Hospital da Misericórdia de Vila Verde"
540,2022-05-01,Ukraine,Missing,Missing,Railroad,In process of analysis,"Transportation,Railway,Укрзалізниця (Ukrzaliznytsia, Ukrainian Railways)"
541,2022-05-02,People's Republic of China,Chengdu,Chengdu,Party,In process of analysis,Politics
542,2022-05-02,France,Malesherbes,Malesherbes,Hotel/Restaurant,In process of analysis,"Centre-Val de Loire, Département Loiret, Travel, Tourism,Groceries, Food,Hôtel-restaurant l'Ecu de France"
543,2022-05-02,New Zealand,Missing,Missing,Website,In process of analysis,"Research and Development,NZ SeaRise"
544,2022-05-04,Argentina,Buenos Aires,Buenos Aires,Metro operator,In process of analysis,"Transportation,Railway,Rapid Transit, Mass Transit, Public Transport,Emova Movilidad S.A."
545,2022-05-04,Ethiopia,Missing,Missing,,In process of analysis,
546,2022-05-04,France,Châteauroux,Châteauroux,Housing association,In process of analysis,"Centre-Val de Loire, Département Indre, Real estate,OPAC 36"
547,2022-05-04,Russia,Saint Petersburg (Санкт-Петербург),Saint Petersburg (Санкт-Петербург),Regional administration,In process of analysis,"Administration, Authority, Government, Public sector"
548,2022-05-04,Russia,Missing,Missing,Alcohol management system,In process of analysis,"Groceries, Food"
549,2022-05-04,USA,Mountain View CA,CA,Medication management,In process of analysis,"California, Santa Clara County, Healthcare,Omnicell, Inc."
550,2022-05-04,Germany,Duisburg,NW,Cleaning,In process of analysis,"North Rhine-Westphalia,CWS International GmbH"
551,2022-05-05,Germany,Marktoberdorf,BY,Tractors,In process of analysis,"Bavaria,AGCO/Fendt"
552,2022-05-05,Spain,Lugo,Lugo,City council,In process of analysis,"Galicia, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
553,2022-05-05,France,Beauvais,Beauvais,Tractors,In process of analysis,"Hauts-de-France, Département Oise,AGCO/Massey Ferguson"
554,2022-05-05,Italy,Varese,Varese,Health authority,In process of analysis,"Lombardy, Italia,Healthcare,ATS Insubria"
555,2022-05-05,Italy,Maranello,Maranello,Automotive,In process of analysis,"Emilia-Romagna, Provincia di Modena, Automobile, Automotive, Cars,Italia,Ferrari"
556,2022-05-05,Norway,Oslo,Oslo,IT service provider,In process of analysis,Norkart AS
557,2022-05-05,USA,Brunswick GA,GA,College,In process of analysis,"Georgia, Glynn County, College, University, Research,College of Coastal Georgia"
558,2022-05-05,USA,Duluth GA,GA,Agricultural machinery,In process of analysis,"Georgia, Gwinnett County,AGCO"
559,2022-05-05,USA,San Diego CA,CA,Medical center,In process of analysis,"California, San Diego County, Healthcare,San Diego American Indian Health Center (SDAIHC)"
560,2022-05-05,USA,Lockport NY,NY,Healthcare,In process of analysis,"New York, Niagara County, Healthcare,Administration, Authority, Government, Public sector,Niagara County Department of Mental Health"
561,2022-05-05,USA,Belton MO,MO,Police,In process of analysis,"Missouri, Clay County, Police, Law enforcement,Administration, Authority, Government, Public sector,Belton Police Department"
562,2022-05-05,Germany,Potsdam,BB,Police,DDoS attack,"Brandenburg, Police, Law enforcement,Bundespolizei"
563,2022-05-05,Germany,Berlin,BE,Party,DDoS attack,"Politics,SPD"
564,2022-05-05,Germany,Berlin,BE,Parliament,DDoS attack,"Government,Politics,Bundestag"
565,2022-05-05,Germany,Missing,Missing,Police,DDoS attack,"Police, Law enforcement,Administration, Authority, Government, Public sector"
566,2022-05-05,Germany,Bonn,NW,Ministry of Defense,DDoS attack,"North Rhine-Westphalia, BMVg, Bundeswehr, Heer, Luftwaffe, Marine, German Army, German Air Force, German Navy, Armed Forces, Military,Government"
567,2022-05-07,USA,Quincy IL,IL,City administration,Ransomware,"Illinois, Adams County, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
568,2022-05-07,Germany,Oldenburg,NI,Construction company,In process of analysis,"Lower Saxony, Construction,Ludwig Freytag"
569,2022-05-09,Estonia,Tallinn,Tallinn,Ministry of Foreign Affairs,In process of analysis,Government
570,2022-05-09,Grönland,Nuuk,Nuuk,Health service,In process of analysis,"Healthcare,Sundhedsvæsenets"
571,2022-05-09,Russia,Missing,Missing,Machine building,In process of analysis,McLanahan Russia
572,2022-05-09,Russia,Missing,Missing,Video platform,In process of analysis,RuTube
573,2022-05-09,Russia,Missing,Missing,TV stations,In process of analysis,
574,2022-05-09,USA,Hillsboro OR,OR,IT service provider,In process of analysis,"Oregon, Washington County,Opus Interactive, Inc."
575,2022-05-09,Zambia,Lusaka,Lusaka,Bank,Ransomware,"Finance, Money,Bank of Zambia"
576,2022-05-10,Pakistan,Islamabad,Islamabad,Government,In process of analysis,Government
577,2022-05-10,Russia,Missing,Missing,Ports,In process of analysis,"Transportation,Boats, Martime, Ships,Ports, Harbor, Harbour,Railway,JSC UMMC"
578,2022-05-11,Canada,Laval QC,QC,College,In process of analysis,"Québec,Collège Montmorency"
579,2022-05-11,Canada,Montreal QC,QC,Air combat training,Ransomware,"Québec, Armed Forces, Military,Aviation,Aerospace, Aviation, Defence, Defense,Top Aces Inc."
580,2022-05-11,Germany,Murnau,BY,Municipality,In process of analysis,"Bavaria, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
581,2022-05-11,Italy,Roma,Roma,Automobile club,DDoS attack,"Lazio, Transportation,Automobile, Automotive, Cars,Italia,Automobile Club d'Italia (ACI)"
582,2022-05-11,Italy,Roma,Roma,Health institute,DDoS attack,"Lazio, Healthcare,Italia,Istituto Superiore di Sanità (ISS)"
583,2022-05-11,Italy,Lucca,Lucca,Research institute,In process of analysis,"Tuscany, Italia,Research and Development,Scuola IMT Alti Studi Lucca"
584,2022-05-11,Italy,Viterbo,Viterbo,Service provider,In process of analysis,"Lazio, Italia,Healthcare,Infomedix Odontoiatria Italiana"
