,Date,Country,City,State,Company,Type,Keywords
48,2022-01-15,Germany,Baunatal,HE,Amateur radio club,In process of analysis,"Hesse,Deutschen Amateur-Radio-Club e.V. (DARC e.V.)"
49,2022-01-15,Germany,Winnweiler,RP,Parish,Ransomware,"Rheinland-Pfalz, Church, religion,Heilig Kreuz"
50,2022-01-16,France,Saint-Jean-de-Maurienne,Saint-Jean-de-Maurienne,"Municipality, Association of municipalities",In process of analysis,"Auvergne-Rhône-Alpes, Administration, Authority, Government, Public sector,Cœur de Maurienne Arvan (3CMA)"
51,2022-01-17,Spain,Getxo,Getxo,City council,In process of analysis,"Basque Country, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
52,2022-01-17,Spain,Fruitós de Bages,Fruitós de Bages,Grocery chain,Ransomware,"Catalonia, Groceries, Food,Supermercados Llobet, S.A. (Grup Llobet)"
53,2022-01-17,Singapore,Missing,Missing,Crypto exchange,In process of analysis,"Finance, Money,Crypto.com"
54,2022-01-18,Switzerland,Frauenfeld TG,TG,Online shop,In process of analysis,"Canton of Thurgau,Zur Rose Group AG"
55,2022-01-18,Switzerland,Geneva GE,GE,International aid organization,In process of analysis,"Canton of Geneva, Genève, Geneva,International Committee of the Red Cross (ICRC)"
56,2022-01-18,USA,Boulder CO,CO,,In process of analysis,"Colorado, Boulder County, College, University, Research,University of Colorado Boulder"
57,2022-01-19,Canada,Ottawa ON,ON,Ministry of Foreign Affairs,In process of analysis,"Ontario, Government,Administration, Authority, Government, Public sector,Global Affairs Canada"
58,2022-01-19,South Africa,Cape Town,Cape Town,Fund company,In process of analysis,"Finance, Money,Curo Fund Services"
59,2022-01-20,Brazil,Salvador,Salvador,State government,In process of analysis,"Bahai, Administration, Authority, Government, Public sector"
60,2022-01-20,Germany,Hagen,NW,Bookseller,In process of analysis,"North Rhine-Westphalia, Retail,Thalia Bücher GmbH,Thalia BUcher GmbH"
61,2022-01-20,Italy,Rivoli,Rivoli,Municipality,In process of analysis,"Piedmont, Administration, Authority, Government, Public sector,Italia,Comune di Rivoli"
62,2022-01-20,USA,Fremont CA,CA,Community College,Ransomware,"California,Ohlone College"
63,2022-01-21,Andorra,Missing,Missing,Telecommunication,DDoS attack,Andorra Telecom
64,2022-01-21,France,Saint-Cloud,Saint-Cloud,City administration,In process of analysis,"Hauts-de-Seine, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
65,2022-01-21,India,Mumbai,Mumbai,Clothing company,In process of analysis,Consumer goods
66,2022-01-21,Netherlands,Arnhem,Arnhem,Veterinary clinic,In process of analysis,"Healthcare,Dierenkliniek Dijkstra"
67,2022-01-21,Republic of China / Taiwan,Taipei,Taipei,Electrical devices,In process of analysis,"台達電子工業股份有限公司 (Delta Electronics, Inc.)"
68,2022-01-21,USA,Missing,Missing,,In process of analysis,"California,Okta"
69,2022-01-22,Germany,Hünfeld,HE,Golf club,In process of analysis,"Hesse,Golfclub Hofgut Praforst e.V.,HUnfeld"
70,2022-01-22,India,Missing,Missing,Disaster response,In process of analysis,"Administration, Authority, Government, Public sector,Emergency service, Rescue,National Disaster Response Force (NDRF)"
71,2022-01-22,India,Hyderabad,Hyderabad,Bank,Phishing,"Finance, Money,Andhra Pradesh Mahesh Co-Operative Urban Bank"
72,2022-01-23,USA,Fallsington PA,PA,School district,In process of analysis,"Pennsylvania,Pennsbury School District"
73,2022-01-24,Albania,Missing,Missing,Media portals,DDoS attack,"Ora News, Dosja, Syri, Faktor, Lapsi, SportExpress"
74,2022-01-24,Belgium,Missing,Missing,Network operator,DDoS attack,Belnet
75,2022-01-24,Belgium,Verviers,Verviers,City administration,In process of analysis,"Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
76,2022-01-24,Belarus,Missing,Missing,,In process of analysis,"Transportation,Railway"
